system:index,area_inundada_km2,area_total_km2,estado_code,estado_name,month,pct_inundada,year,.geo
0_00020000000000000098,0.0,5217.940857171724,2028,Aguascalientes,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00020000000000000099,0.0,73700.07195083906,2029,Baja California,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009b,0.0,57201.316329346446,2031,Campeche,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009c,0.0,73878.7355579117,2032,Chiapas,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009d,0.0,240172.1342494217,2033,Chihuahua,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009e,0.0,154735.87342733878,2034,Coahuila,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0002000000000000009f,0.0,5598.768171353275,2035,Colima,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a0,0.0,1606.4397662324216,2036,Distrito Federal,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a1,0.0,124388.75172827483,2037,Durango,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a2,0.0,30923.816642764814,2038,Guanajuato,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a3,0.0,65236.3588904544,2039,Guerrero,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a4,0.0,22496.53021982448,2040,Hidalgo,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a5,0.0,76136.81795855696,2041,Jalisco,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a6,0.0,23266.853566063342,2042,Mexico,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a7,0.0,59392.01161342466,2043,Michoacan,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a8,0.0,5094.575087921492,2044,Morelos,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000a9,0.0,26680.141937901513,2045,Nayarit,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000aa,0.0,65141.695307440124,2046,Nuevo Leon,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ab,0.0,91768.86633040001,2047,Oaxaca,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ac,0.0,33760.99465779869,2048,Puebla,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ad,0.0,11552.677667951823,2049,Queretaro,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000ae,0.0,63082.54527418137,2051,San Luis Potosi,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000af,0.0,185238.26699334712,2053,Sonora,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b0,0.0,24137.958517991083,2054,Tabasco,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b1,0.0,79319.09001570207,2055,Tamaulipas,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,1.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00020000000000000098,0.0,5217.940857171724,2028,Aguascalientes,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00020000000000000099,0.0,73700.07195083906,2029,Baja California,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009b,0.0,57201.316329346446,2031,Campeche,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009c,0.0,73878.7355579117,2032,Chiapas,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009d,0.0,240172.1342494217,2033,Chihuahua,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009e,0.0,154735.87342733878,2034,Coahuila,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0002000000000000009f,0.0,5598.768171353275,2035,Colima,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a0,0.0,1606.4397662324216,2036,Distrito Federal,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a1,0.0,124388.75172827483,2037,Durango,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a2,0.0,30923.816642764814,2038,Guanajuato,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a3,0.0,65236.3588904544,2039,Guerrero,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a4,0.0,22496.53021982448,2040,Hidalgo,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a5,0.0,76136.81795855696,2041,Jalisco,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a6,0.0,23266.853566063342,2042,Mexico,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a7,0.0,59392.01161342466,2043,Michoacan,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a8,0.0,5094.575087921492,2044,Morelos,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000a9,0.0,26680.141937901513,2045,Nayarit,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000aa,0.0,65141.695307440124,2046,Nuevo Leon,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ab,0.0,91768.86633040001,2047,Oaxaca,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ac,0.0,33760.99465779869,2048,Puebla,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ad,0.0,11552.677667951823,2049,Queretaro,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000ae,0.0,63082.54527418137,2051,San Luis Potosi,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000af,0.0,185238.26699334712,2053,Sonora,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b0,0.0,24137.958517991083,2054,Tabasco,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b1,0.0,79319.09001570207,2055,Tamaulipas,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,2.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00020000000000000098,0.0,5217.940857171724,2028,Aguascalientes,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00020000000000000099,0.0,73700.07195083906,2029,Baja California,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009b,0.0,57201.316329346446,2031,Campeche,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009c,0.0,73878.7355579117,2032,Chiapas,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009d,0.0,240172.1342494217,2033,Chihuahua,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009e,0.0,154735.87342733878,2034,Coahuila,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0002000000000000009f,0.0,5598.768171353275,2035,Colima,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a0,0.0,1606.4397662324216,2036,Distrito Federal,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a1,0.0,124388.75172827483,2037,Durango,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a2,0.0,30923.816642764814,2038,Guanajuato,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a3,0.0,65236.3588904544,2039,Guerrero,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a4,0.0,22496.53021982448,2040,Hidalgo,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a5,0.0,76136.81795855696,2041,Jalisco,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a6,0.0,23266.853566063342,2042,Mexico,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a7,0.0,59392.01161342466,2043,Michoacan,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a8,0.0,5094.575087921492,2044,Morelos,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000a9,0.0,26680.141937901513,2045,Nayarit,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000aa,0.0,65141.695307440124,2046,Nuevo Leon,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000ab,0.0,91768.86633040001,2047,Oaxaca,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000ac,0.0,33760.99465779869,2048,Puebla,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000ad,0.0,11552.677667951823,2049,Queretaro,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000ae,0.0,63082.54527418137,2051,San Luis Potosi,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000af,0.0,185238.26699334712,2053,Sonora,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b0,0.0,24137.958517991083,2054,Tabasco,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b1,0.0,79319.09001570207,2055,Tamaulipas,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,3.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00020000000000000098,0.0,5217.940857171724,2028,Aguascalientes,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00020000000000000099,0.0,73700.07195083906,2029,Baja California,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009b,0.0,57201.316329346446,2031,Campeche,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009c,0.0,73878.7355579117,2032,Chiapas,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009d,0.0,240172.1342494217,2033,Chihuahua,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009e,0.0,154735.87342733878,2034,Coahuila,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009f,0.0,5598.768171353275,2035,Colima,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a0,0.0,1606.4397662324216,2036,Distrito Federal,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a1,0.0,124388.75172827483,2037,Durango,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a2,0.0,30923.816642764814,2038,Guanajuato,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a3,0.0,65236.3588904544,2039,Guerrero,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a4,0.0,22496.53021982448,2040,Hidalgo,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a5,0.0,76136.81795855696,2041,Jalisco,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a6,0.0,23266.853566063342,2042,Mexico,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a7,0.0,59392.01161342466,2043,Michoacan,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a8,0.0,5094.575087921492,2044,Morelos,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a9,0.0,26680.141937901513,2045,Nayarit,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000aa,0.0,65141.695307440124,2046,Nuevo Leon,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ab,0.0,91768.86633040001,2047,Oaxaca,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ac,0.0,33760.99465779869,2048,Puebla,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ad,0.0,11552.677667951823,2049,Queretaro,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ae,0.0,63082.54527418137,2051,San Luis Potosi,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000af,0.0,185238.26699334712,2053,Sonora,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b0,0.0,24137.958517991083,2054,Tabasco,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b1,0.0,79319.09001570207,2055,Tamaulipas,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,4.0,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
